年分,原始值,年增率
1974,-,0.00
1975,-,0.00
1976,18967,0.00
1977,21691,14.37
1978,26872,23.89
1979,32801,22.06
1980,41148,25.45
1981,46894,13.96
1982,49226,4.97
1983,53379,8.44
1984,56967,6.72
1985,59224,3.96
1986,63998,8.06
1987,70851,10.71
1988,81122,14.50
1989,93324,15.04
1990,104980,12.49
1991,119043,13.40
1992,132358,11.19
1993,150492,13.70
1994,161906,7.58
1995,174288,7.65
1996,179669,3.09
1997,190899,6.25
1998,195227,2.27
1999,206589,5.82
2000,207552,0.47
2001,200684,-3.31
2002,198621,-1.03
2003,208253,4.85
2004,213633,2.58
2005,218949,2.49
2006,225061,2.79
2007,230122,2.25
2008,227756,-1.03
2009,225056,-1.19
2010,231975,3.07
2011,233527,0.67
2012,243131,4.11
