年分,原始值,年增率
1974,92813,...
1975,101821,9.71
1976,116297,14.22
1977,130830,12.50
1978,155737,19.04
1979,188407,20.98
1980,233112,23.73
1981,266439,14.30
1982,275250,3.31
1983,295887,7.50
1984,314245,6.20
1985,320492,1.99
1986,341728,6.63
1987,366487,7.25
1988,410483,12.00
1989,464994,13.28
1990,520147,11.86
1991,587242,12.90
1992,639696,8.93
1993,727879,13.79
1994,769755,5.75
1995,811338,5.40
1996,826378,1.85
1997,863427,4.48
1998,873175,1.13
1999,889053,1.82
2000,891445,0.27
2001,868651,-2.56
2002,875919,0.84
2003,881662,0.66
2004,891249,1.09
2005,894574,0.37
2006,913092,2.07
2007,923874,1.18
2008,913687,-1.10
2009,887605,-2.85
2010,889353,0.20
2011,907988,2.10
2012,923584,1.72
