年分,原始值,年增率
1974,-,0.00
1975,-,0.00
1976,23.0,0.00
1977,23.0,0.00
1978,24.0,4.35
1979,25.0,4.17
1980,26.0,4.00
1981,27.0,3.85
1982,28.0,3.70
1983,29.0,3.57
1984,30.0,3.45
1985,30.0,0.00
1986,31.0,3.33
1987,31.7,2.26
1988,32.0,0.95
1989,33.3,4.06
1990,33.9,1.80
1991,34.4,1.47
1992,35.5,3.20
1993,36.0,1.41
1994,36.8,2.14
1995,37.2,1.09
1996,38.1,2.42
1997,39.2,2.94
1998,39.8,1.53
1999,39.6,-0.50
2000,40.4,2.10
2001,41.0,1.41
2002,41.7,1.68
2003,41.9,0.46
2004,42.4,1.29
2005,42.2,-0.48
2006,42.8,1.40
2007,43.3,1.26
2008,43.2,-0.26
2009,44.0,1.68
2010,43.1,-2.04
2011,44.0,2.21
2012,43.6,-1.02
