年分,原始值,年增率
1974,1.89,...
1975,1.96,3.70
1976,1.92,-2.04
1977,1.89,-1.56
1978,1.89,0.00
1979,1.93,2.12
1980,1.93,0.00
1981,1.92,-0.52
1982,1.88,-2.08
1983,1.86,-1.06
1984,1.84,-1.08
1985,1.81,-1.63
1986,1.83,1.10
1987,1.80,-1.64
1988,1.78,-1.11
1989,1.77,-0.56
1990,1.77,0.00
1991,1.76,-0.56
1992,1.75,-0.57
1993,1.77,1.14
1994,1.75,-1.13
1995,1.71,-2.29
1996,1.71,0.00
1997,1.69,-1.17
1998,1.64,-2.96
1999,1.60,-2.44
2000,1.58,-1.25
2001,1.56,-1.27
2002,1.57,0.64
2003,1.54,-1.91
2004,1.53,-0.65
2005,1.51,-1.31
2006,1.52,0.66
2007,1.50,-1.32
2008,1.49,-0.67
2009,1.46,-2.01
2010,1.44,-1.37
2011,1.49,3.47
2012,1.46,-2.01
