年分,原始值,年增率
1974,5.38,...
1975,5.27,-2.04
1976,5.24,-0.57
1977,5.06,-3.44
1978,4.92,-2.77
1979,4.87,-1.02
1980,4.85,-0.41
1981,4.79,-1.24
1982,4.74,-1.04
1983,4.71,-0.63
1984,4.68,-0.64
1985,4.59,-1.92
1986,4.53,-1.31
1987,4.41,-2.65
1988,4.28,-2.95
1989,4.25,-0.70
1990,4.19,-1.41
1991,4.16,-0.72
1992,4.10,-1.44
1993,4.10,0.00
1994,4.02,-1.95
1995,3.94,-1.99
1996,3.92,-0.51
1997,3.84,-2.04
1998,3.77,-1.82
1999,3.63,-3.71
2000,3.62,-0.28
2001,3.58,-1.10
2002,3.65,1.96
2003,3.53,-3.29
2004,3.50,-0.85
2005,3.42,-2.29
2006,3.41,-0.29
2007,3.38,-0.88
2008,3.35,-0.89
2009,3.34,-0.30
2010,3.25,-2.69
2011,3.29,1.23
2012,3.23,-1.82
