年分,原始值,年增率
1974,80942,...
1975,86849,7.30
1976,95714,10.21
1977,104640,9.33
1978,122207,16.79
1979,147459,20.66
1980,179687,21.86
1981,199523,11.04
1982,210906,5.71
1983,226234,7.27
1984,243784,7.76
1985,246277,1.02
1986,258474,4.95
1987,275105,6.43
1988,302207,9.85
1989,336875,11.47
1990,370323,9.93
1991,411760,11.19
1992,445220,8.13
1993,504133,13.23
1994,545987,8.30
1995,591035,8.25
1996,614435,3.96
1997,634477,3.26
1998,646343,1.87
1999,655282,1.38
2000,662722,1.14
2001,657872,-0.73
2002,672619,2.24
2003,666372,-0.93
2004,692648,3.94
2005,701076,1.22
2006,713024,1.70
2007,716094,0.43
2008,705413,-1.49
2009,705680,0.04
2010,702292,-0.48
2011,729010,3.80
2012,727693,-0.18
