年分,原始值,年增率
1974,87.21,...
1975,85.30,-2.19
1976,82.30,-3.51
1977,79.98,-2.82
1978,78.47,-1.89
1979,78.27,-0.26
1980,77.08,-1.51
1981,74.89,-2.85
1982,76.62,2.32
1983,76.46,-0.21
1984,77.58,1.46
1985,76.84,-0.95
1986,75.64,-1.57
1987,75.07,-0.76
1988,73.62,-1.92
1989,72.45,-1.60
1990,71.20,-1.73
1991,70.12,-1.51
1992,69.60,-0.74
1993,69.26,-0.49
1994,70.93,2.41
1995,72.85,2.70
1996,74.35,2.07
1997,73.48,-1.17
1998,74.02,0.73
1999,73.71,-0.43
2000,74.34,0.86
2001,75.73,1.87
2002,76.79,1.39
2003,75.58,-1.57
2004,77.72,2.83
2005,78.37,0.84
2006,78.09,-0.36
2007,77.51,-0.74
2008,77.21,-0.39
2009,79.50,2.98
2010,78.97,-0.68
2011,80.29,1.67
2012,78.79,-1.87
