年分,原始值,年增率
1974,-,0.00
1975,-,0.00
1976,67.36,0.00
1977,68.05,1.02
1978,69.57,2.23
1979,71.62,2.95
1980,73.52,2.65
1981,73.33,-0.26
1982,74.24,1.24
1983,74.94,0.94
1984,75.99,1.40
1985,77.34,1.78
1986,77.56,0.28
1987,78.58,1.32
1988,77.76,-1.04
1989,79.02,1.62
1990,80.47,1.83
1991,80.40,-0.09
1992,82.80,2.99
1993,81.88,-1.11
1994,82.52,0.78
1995,83.56,1.26
1996,84.45,1.07
1997,84.57,0.14
1998,84.61,0.05
1999,84.91,0.35
2000,85.35,0.52
2001,85.64,0.34
2002,85.40,-0.28
2003,85.11,-0.34
2004,86.80,1.98
2005,87.33,0.61
2006,87.83,0.58
2007,88.14,0.36
2008,87.36,-0.89
2009,87.89,0.60
2010,84.89,-3.42
2011,84.58,-0.36
2012,85.77,1.40
