年分,原始值,年增率
1974,-,0.00
1975,-,0.00
1976,101336,0.00
1977,111860,10.39
1978,136086,21.66
1979,164260,20.70
1980,205750,25.26
1981,233886,13.67
1982,241100,3.08
1983,257690,6.88
1984,275780,7.02
1985,280100,1.57
1986,295873,5.63
1987,320517,8.33
1988,359440,12.14
1989,411342,14.44
1990,453416,10.23
1991,510410,12.57
1992,558336,9.39
1993,639907,14.61
1994,668450,4.46
1995,700873,4.85
1996,720970,2.87
1997,750341,4.07
1998,763717,1.78
1999,776134,1.63
2000,776390,0.03
2001,737682,-4.99
2002,740556,0.39
2003,739648,-0.12
2004,773320,4.55
2005,775656,0.30
2006,796091,2.63
2007,799571,0.44
2008,795643,-0.49
2009,769705,-3.26
2010,771003,0.17
2011,782517,1.49
2012,808193,3.28
