年分,原始值,年增率
1974,12.79,...
1975,14.70,14.96
1976,17.70,20.36
1977,20.02,13.11
1978,21.53,7.55
1979,21.73,0.95
1980,22.92,5.45
1981,25.11,9.59
1982,23.38,-6.92
1983,23.54,0.70
1984,22.42,-4.75
1985,23.16,3.28
1986,24.36,5.21
1987,24.93,2.35
1988,26.38,5.79
1989,27.55,4.45
1990,28.80,4.54
1991,29.88,3.74
1992,30.40,1.74
1993,30.74,1.11
1994,29.07,-5.43
1995,27.15,-6.59
1996,25.65,-5.55
1997,26.52,3.39
1998,25.98,-2.03
1999,26.29,1.22
2000,25.66,-2.42
2001,24.27,-5.43
2002,23.21,-4.35
2003,24.42,5.21
2004,22.28,-8.74
2005,21.63,-2.93
2006,21.91,1.30
2007,22.49,2.64
2008,22.79,1.36
2009,20.50,-10.08
2010,21.03,2.62
2011,19.71,-6.28
2012,21.21,7.60
