年分,原始值,年增率
1992,34360,...
1993,32656,-4.96
1994,30786,-5.73
1995,34551,12.23
1996,40995,18.65
1997,34162,-16.67
1998,36524,6.91
1999,40677,11.37
2000,38068,-6.41
2001,40178,5.54
2002,40721,1.35
2003,34786,-14.57
2004,35031,0.70
2005,39374,12.40
2006,39927,1.40
2007,42053,5.32
2008,42364,0.74
2009,35585,-16.00
2010,37554,5.53
2011,36278,-3.40
2012,37059,2.15
