年分,原始值,年增率
1992,4553,...
1993,5267,15.68
1994,5577,5.89
1995,8799,57.77
1996,8913,1.30
1997,9676,8.56
1998,9225,-4.66
1999,8922,-3.28
2000,6834,-23.40
2001,8584,25.61
2002,10145,18.18
2003,9277,-8.56
2004,7924,-14.58
2005,8477,6.98
2006,7902,-6.78
2007,7154,-9.47
2008,6493,-9.24
2009,5726,-11.81
2010,4684,-18.20
2011,3943,-15.82
2012,3355,-14.91
