年分,原始值,年增率
1992,92267,...
1993,97686,5.87
1994,79520,-18.60
1995,80590,1.35
1996,90411,12.19
1997,92875,2.73
1998,87141,-6.17
1999,102524,17.65
2000,122421,19.41
2001,138346,13.01
2002,147958,6.95
2003,151134,2.15
2004,179279,18.62
2005,212654,18.62
2006,219001,2.98
2007,241190,10.13
2008,235971,-2.16
2009,224160,-5.01
2010,223848,-0.14
2011,226653,1.25
2012,213631,-5.75
