年分,原始值,年增率
1992,110301,...
1993,110103,-0.18
1994,122935,11.65
1995,144735,17.73
1996,171993,18.83
1997,148074,-13.91
1998,164354,10.99
1999,148520,-9.63
2000,144398,-2.78
2001,154811,7.21
2002,179164,15.73
2003,178280,-0.49
2004,179270,0.56
2005,187938,4.84
2006,164557,-12.44
2007,150108,-8.78
2008,133823,-10.85
2009,102224,-23.61
2010,92076,-9.93
2011,77627,-15.69
2012,70369,-9.35
