年分,原始值,年增率
1992,208298,...
1993,214409,2.93
1994,209177,-2.44
1995,230513,10.20
1996,265471,15.17
1997,242392,-8.69
1998,251638,3.81
1999,253299,0.66
2000,259645,2.51
2001,271128,4.42
2002,297816,9.84
2003,290962,-2.30
2004,313848,7.87
2005,346677,10.46
2006,342329,-1.25
2007,367001,7.21
2008,350497,-4.50
2009,311648,-11.08
2010,296500,-4.86
2011,276371,-6.79
2012,266512,-3.57
