年分,原始值,年增率
1992,72.06,-
1993,67.18,-
1994,64.67,-
1995,53.70,-
1996,58.20,-
1997,56.84,-
1998,57.91,-
1999,65.58,-
2000,59.21,-
2001,55.25,-
2002,59.16,-
2003,58.81,-
2004,60.09,-
2005,62.45,-
2006,66.76,-
2007,74.62,-
2008,77.30,-
2009,80.72,-
2010,79.72,-
2011,79.49,-
2012,83.98,-
