年分,原始值,年增率
1992,91984,...
1993,97484,5.98
1994,79253,-18.70
1995,75403,-4.86
1996,82921,9.97
1997,84642,2.08
1998,78059,-7.78
1999,95857,22.80
2000,108413,13.10
2001,107733,-0.63
2002,108507,0.72
2003,103405,-4.70
2004,126654,22.48
2005,150262,18.64
2006,169870,13.05
2007,209739,23.47
2008,210181,0.21
2009,203698,-3.08
2010,199740,-1.94
2011,194801,-2.47
2012,192788,-1.03
