年分,原始值,年增率
1992,7216,...
1993,8206,13.72
1994,8837,7.69
1995,10993,24.40
1996,11426,3.94
1997,11084,-2.99
1998,10627,-4.12
1999,9681,-8.90
2000,8217,-15.12
2001,9595,16.77
2002,9488,-1.12
2003,8580,-9.57
2004,7441,-13.28
2005,7508,0.90
2006,7978,6.26
2007,7529,-5.63
2008,6843,-9.11
2009,6139,-10.29
2010,5365,-12.61
2011,4929,-8.13
2012,4527,-8.16
