年分,原始值,年增率
1992,835.41,-
1993,847.78,-
1994,727.82,-
1995,733.51,-
1996,809.09,-
1997,797.54,-
1998,727.81,-
1999,815.96,-
2000,818.65,-
2001,808.05,-
2002,826.91,-
2003,703.32,-
2004,781.46,-
2005,912.57,-
2006,1004.20,-
2007,1160.08,-
2008,1179.19,-
2009,1135.14,-
2010,1163.91,-
2011,1122.54,-
2012,1126.14,-
