年分,原始值,年增率
1992,289052,...
1993,319179,10.42
1994,323459,1.34
1995,429233,32.70
1996,456117,6.26
1997,426425,-6.51
1998,434513,1.90
1999,386241,-11.11
2000,438520,13.54
2001,490736,11.91
2002,503389,2.58
2003,494755,-1.72
2004,522305,5.57
2005,555109,6.28
2006,512788,-7.62
2007,491815,-4.09
2008,453439,-7.80
2009,386075,-14.86
2010,371934,-3.66
2011,347674,-6.52
2012,317356,-8.72
