年分,原始值,年增率
1992,6480,...
1993,7110,9.72
1994,7688,8.13
1995,16489,114.48
1996,16827,2.05
1997,13648,-18.89
1998,12877,-5.65
1999,11362,-11.77
2000,10306,-9.29
2001,14327,39.02
2002,14895,3.96
2003,12966,-12.95
2004,12706,-2.01
2005,14301,12.55
2006,12226,-14.51
2007,9534,-22.02
2008,8117,-14.86
2009,6764,-16.67
2010,5312,-21.47
2011,4190,-21.12
2012,3461,-17.40
