年分,原始值,年增率
1999,...,...
2000,...,...
2001,37805,...
2002,38289,1.28
2003,40298,5.25
2004,45731,13.48
2005,49420,8.07
2006,57151,15.65
2007,62490,9.34
2008,66944,7.13
2009,66829,-0.17
2010,71884,7.56
2011,76448,6.35
2012,80460,5.25
