年分,原始值,年增率
1999,...,...
2000,...,...
2001,86034,...
2002,88011,2.30
2003,87921,-0.10
2004,95814,8.98
2005,98593,2.90
2006,102856,4.32
2007,100869,-1.93
2008,99555,-1.30
2009,98276,-1.28
2010,107960,9.85
2011,114512,6.07
2012,110794,-3.25
