年分,原始值,年增率
1976,362,...
1977,570,57.46
1978,713,25.09
1979,848,18.93
1980,1201,41.63
1981,1387,15.49
1982,1549,11.68
1983,1683,8.65
1984,1824,8.38
1985,1927,5.65
1986,2142,11.16
1987,2333,8.92
1988,2838,21.65
1989,3557,25.33
1990,4185,17.66
1991,5106,22.01
1992,5847,14.51
1993,6979,19.36
1994,8056,15.43
1995,8869,10.09
1996,9656,8.87
1997,10525,9.00
1998,11340,7.74
1999,11618,2.45
2000,12130,4.41
2001,11927,-1.67
2002,11248,-5.69
2003,11058,-1.69
2004,11382,2.93
2005,11657,2.42
2006,12411,6.47
2007,12899,3.93
2008,12802,-0.75
2009,13153,2.74
2010,13023,-0.99
2011,13538,3.95
2012,13678,1.03
