年分,原始值,年增率
1976,969,...
1977,1140,17.65
1978,1327,16.40
1979,1779,34.06
1980,2112,18.72
1981,2459,16.43
1982,2756,12.08
1983,3101,12.52
1984,3394,9.45
1985,3564,5.01
1986,3942,10.61
1987,4432,12.43
1988,5168,16.61
1989,5734,10.95
1990,6408,11.75
1991,7199,12.34
1992,7771,7.95
1993,8707,12.04
1994,9547,9.65
1995,10481,9.78
1996,11044,5.37
1997,11577,4.83
1998,11251,-2.82
1999,11562,2.76
2000,11507,-0.48
2001,11877,3.22
2002,12111,1.97
2003,11897,-1.77
2004,12039,1.19
2005,11811,-1.89
2006,12267,3.86
2007,11897,-3.02
2008,11293,-5.08
2009,11165,-1.13
2010,11403,2.13
2011,11707,2.67
2012,11981,2.34
