年分,原始值,年增率
1976,215,...
1977,243,13.02
1978,276,13.58
1979,340,23.19
1980,419,23.24
1981,534,27.45
1982,630,17.98
1983,769,22.06
1984,892,15.99
1985,939,5.27
1986,1078,14.80
1987,1193,10.67
1988,1379,15.59
1989,1580,14.58
1990,1878,18.86
1991,2259,20.29
1992,2411,6.73
1993,3815,58.23
1994,4426,16.02
1995,6933,56.64
1996,7159,3.26
1997,7657,6.96
1998,8405,9.77
1999,9474,12.72
2000,9801,3.45
2001,10273,4.82
2002,11307,10.07
2003,11640,2.95
2004,12115,4.08
2005,12936,6.78
2006,12989,0.41
2007,13879,6.85
2008,15712,13.21
2009,15603,-0.69
2010,15150,-2.90
2011,15434,1.87
2012,17114,10.89
