年分,原始值,年增率
1976,3906,...
1977,4748,21.56
1978,5916,24.60
1979,7438,25.73
1980,9652,29.77
1981,11565,19.82
1982,12514,8.21
1983,14001,11.88
1984,15341,9.57
1985,16053,4.64
1986,17705,10.29
1987,19620,10.82
1988,22968,17.06
1989,27121,18.08
1990,31542,16.30
1991,36705,16.37
1992,41356,12.67
1993,47929,15.89
1994,52831,10.23
1995,58977,11.63
1996,62095,5.29
1997,66986,7.88
1998,70027,4.54
1999,73046,4.31
2000,75067,2.77
2001,74609,-0.61
2002,76023,1.90
2003,77429,1.85
2004,79545,2.73
2005,81700,2.71
2006,84140,2.99
2007,86181,2.43
2008,86832,0.76
2009,86736,-0.11
2010,88113,1.59
2011,92166,4.60
2012,95060,3.14
