年分,原始值,年增率
1976,2360,...
1977,2795,18.43
1978,3600,28.80
1979,4471,24.19
1980,5920,32.41
1981,7185,21.37
1982,7579,5.48
1983,8448,11.47
1984,9231,9.27
1985,9623,4.25
1986,10543,9.56
1987,11662,10.61
1988,13583,16.47
1989,16250,19.63
1990,19071,17.36
1991,22141,16.10
1992,25327,14.39
1993,28428,12.24
1994,30802,8.35
1995,32695,6.15
1996,34237,4.72
1997,37227,8.73
1998,39031,4.85
1999,40392,3.49
2000,41628,3.06
2001,40532,-2.63
2002,41358,2.04
2003,42834,3.57
2004,44008,2.74
2005,45297,2.93
2006,46473,2.60
2007,47506,2.22
2008,47024,-1.01
2009,46815,-0.44
2010,48536,3.68
2011,51488,6.08
2012,52287,1.55
