年分,原始值,年增率
1951,...,-
1952,11.84,-
1953,9.85,-
1954,9.96,-
1955,7.84,-
1956,5.30,-
1957,7.35,-
1958,6.86,-
1959,7.96,-
1960,6.87,-
1961,6.32,-
1962,8.04,-
1963,9.81,-
1964,11.57,-
1965,10.85,-
1966,8.72,-
1967,10.41,-
1968,9.00,-
1969,8.66,-
1970,10.60,-
1971,12.45,-
1972,13.15,-
1973,11.83,-
1974,1.86,-
1975,5.43,-
1976,13.45,-
1977,10.88,-
1978,13.49,-
1979,8.01,-
1980,7.32,-
1981,6.46,-
1982,3.97,-
1983,8.32,-
1984,9.32,-
1985,4.07,-
1986,11.00,-
1987,10.68,-
1988,5.57,-
1989,10.28,-
1990,6.87,-
1991,7.88,-
1992,7.56,-
1993,6.73,-
1994,7.59,-
1995,6.38,-
1996,5.54,-
1997,5.48,-
1998,3.47,-
1999,5.97,-
2000,5.80,-
2001,-1.65,-
2002,5.26,-
2003,3.67,-
2004,6.19,-
2005,4.70,-
2006,5.44,-
2007,5.98,-
2008,0.73,-
2009,-1.81,-
2010,10.76,-
2011,4.19,-
2012,1.48,-
