年分,原始值,年增率
1951,12648,...
1952,17623,39.33
1953,23422,32.91
1954,25746,9.92
1955,30685,19.18
1956,35194,14.69
1957,41096,16.77
1958,45990,11.91
1959,52980,15.20
1960,63765,20.36
1961,71389,11.96
1962,78539,10.02
1963,88714,12.96
1964,103488,16.65
1965,114359,10.50
1966,127675,11.64
1967,147463,15.50
1968,171817,16.52
1969,199154,15.91
1970,229390,15.18
1971,266594,16.22
1972,319573,19.87
1973,415111,29.90
1974,556303,34.01
1975,597660,7.43
1976,717089,19.98
1977,840846,17.26
1978,1006669,19.72
1979,1215395,20.73
1980,1519946,25.06
1981,1810829,19.14
1982,1941169,7.20
1983,2168143,11.69
1984,2414377,11.36
1985,2517129,4.26
1986,2943997,16.96
1987,3291857,11.82
1988,3488550,5.98
1989,4003227,14.75
1990,4430055,10.66
1991,4958220,11.92
1992,5534544,11.62
1993,6110101,10.40
1994,6685505,9.42
1995,7277545,8.86
1996,7906075,8.64
1997,8574784,8.46
1998,9204174,7.34
1999,9649049,4.83
2000,10187394,5.58
2001,9930387,-2.52
2002,10411639,4.85
2003,10696257,2.73
2004,11365292,6.25
2005,11740279,3.30
2006,12243471,4.29
2007,12910511,5.45
2008,12620150,-2.25
2009,12481093,-1.10
2010,13552099,8.58
2011,13709074,1.16
2012,14077099,2.68
