年分,原始值,年增率
1981,60262157,...
1982,77809670,29.12
1983,91864372,18.06
1984,89206666,-2.89
1985,100352921,12.49
1986,112949397,12.55
1987,119030192,5.38
1988,135970263,14.23
1989,163094485,19.95
1990,202364354,24.08
1991,247488080,22.30
1992,290019588,17.19
1993,332463417,14.63
1994,350053223,5.29
1995,366902255,4.81
1996,407595911,11.09
1997,420905497,3.27
1998,430675819,2.32
1999,453089741,5.20
2000,381937815,-15.70
2001,406886944,6.53
2002,423036518,3.97
2003,424811457,0.42
2004,441251948,3.87
2005,457296815,3.64
2006,469392790,2.65
2007,476822193,1.58
2008,481068268,0.89
2009,532325154,10.65
2010,516451405,-2.98
2011,534012446,3.40
