年分,原始值,年增率
1981,4.44,-
1982,5.04,-
1983,5.45,-
1984,4.80,-
1985,4.94,-
1986,5.00,-
1987,4.61,-
1988,4.86,-
1989,5.25,-
1990,5.64,-
1991,6.27,-
1992,6.53,-
1993,6.73,-
1994,6.61,-
1995,6.37,-
1996,6.55,-
1997,6.60,-
1998,6.29,-
1999,6.30,-
2000,5.31,-
2001,5.83,-
2002,5.77,-
2003,5.74,-
2004,5.61,-
2005,5.68,-
2006,5.59,-
2007,5.37,-
2008,5.65,-
2009,6.13,-
2010,5.54,-
2011,5.67,-
