年分,原始值,年增率
1981,3312,...
1982,4202,26.87
1983,4889,16.34
1984,4678,-4.31
1985,5196,11.07
1986,5790,11.43
1987,6034,4.23
1988,6814,12.92
1989,8091,18.75
1990,9919,22.59
1991,12011,21.08
1992,13941,16.08
1993,15835,13.58
1994,16529,4.38
1995,17179,3.93
1996,18936,10.22
1997,19358,2.23
1998,19640,1.45
1999,20509,4.42
2000,17145,-16.40
2001,18160,5.92
2002,18784,3.44
2003,18793,0.05
2004,19448,3.48
2005,20083,3.27
2006,20519,2.17
2007,20769,1.22
2008,20882,0.55
2009,23025,10.26
2010,22297,-3.16
2011,22993,3.12
