年分,原始值,年增率
1981,14.71,-
1982,15.14,-
1983,16.51,-
1984,16.28,-
1985,16.57,-
1986,16.45,-
1987,16.54,-
1988,17.27,-
1989,17.39,-
1990,17.47,-
1991,17.77,-
1992,17.86,-
1993,18.43,-
1994,18.58,-
1995,19.36,-
1996,22.11,-
1997,22.40,-
1998,21.61,-
1999,22.10,-
2000,17.75,-
2001,17.91,-
2002,19.72,-
2003,19.17,-
2004,19.65,-
2005,19.95,-
2006,21.20,-
2007,20.82,-
2008,20.53,-
2009,19.93,-
2010,20.12,-
2011,20.35,-
