年分,原始值,年增率
1981,3.61,-
1982,4.14,-
1983,4.51,-
1984,3.85,-
1985,4.00,-
1986,4.10,-
1987,3.71,-
1988,3.92,-
1989,4.27,-
1990,4.65,-
1991,5.16,-
1992,5.39,-
1993,5.58,-
1994,5.40,-
1995,5.20,-
1996,5.34,-
1997,5.24,-
1998,4.96,-
1999,4.96,-
2000,3.96,-
2001,4.34,-
2002,4.28,-
2003,4.20,-
2004,4.11,-
2005,4.18,-
2006,4.12,-
2007,3.98,-
2008,4.13,-
2009,4.61,-
2010,4.16,-
2011,4.30,-
