年分,原始值,年增率
1951,7758202,...
1952,8046915,3.72
1953,8333009,3.56
1954,8645264,3.75
1955,8967001,3.72
1956,9289545,3.60
1957,9597690,3.32
1958,9920227,3.36
1959,10288327,3.71
1960,10667705,3.69
1961,11030385,3.40
1962,11392513,3.28
1963,11762101,3.24
1964,12137143,3.19
1965,12511863,3.09
1966,12874153,2.90
1967,13210344,2.61
1968,13548537,2.56
1969,14068984,3.84
1970,14582944,3.65
1971,14913564,2.27
1972,15220495,2.06
1973,15505121,1.87
1974,15784817,1.80
1975,16075128,1.84
1976,16401413,2.03
1977,16730895,2.01
1978,17042272,1.86
1979,17372779,1.94
1980,17704538,1.91
1981,18029982,1.84
1982,18354855,1.80
1983,18653146,1.63
1984,18929866,1.48
1985,19191510,1.38
1986,19411454,1.15
1987,19617046,1.06
1988,19839704,1.14
1989,20055492,1.09
1990,20278946,1.11
1991,20503568,1.11
1992,20704227,0.98
1993,20899019,0.94
1994,21086645,0.90
1995,21267653,0.86
1996,21441432,0.82
1997,21634124,0.90
1998,21835703,0.93
1999,22010489,0.80
2000,22184530,0.79
2001,22341120,0.71
2002,22463172,0.55
2003,22562663,0.44
2004,22646836,0.37
2005,22729753,0.37
2006,22823455,0.41
2007,22917444,0.41
2008,22997696,0.35
2009,23078402,0.35
2010,23140948,0.27
2011,23193518,0.23
2012,23270367,0.33
