年分,原始值,年增率
1951,12274,...
1952,17117,39.46
1953,22708,32.66
1954,24743,8.96
1955,29300,18.42
1956,33504,14.35
1957,38907,16.13
1958,43313,11.32
1959,49853,15.10
1960,60300,20.96
1961,67319,11.64
1962,73927,9.82
1963,83798,13.35
1964,98094,17.06
1965,108160,10.26
1966,120775,11.66
1967,139055,15.14
1968,161586,16.20
1969,186964,15.71
1970,215345,15.18
1971,250209,16.19
1972,298925,19.47
1973,385173,28.85
1974,508486,32.01
1975,538473,5.90
1976,645480,19.87
1977,757547,17.36
1978,915100,20.80
1979,1102295,20.46
1980,1370084,24.29
1981,1628368,18.85
1982,1755122,7.78
1983,1954550,11.36
1984,2210405,13.09
1985,2329374,5.38
1986,2766094,18.75
1987,3093077,11.82
1988,3376379,9.16
1989,3778844,11.92
1990,4159304,10.07
1991,4659322,12.02
1992,5127513,10.05
1993,5649742,10.18
1994,6175452,9.31
1995,6693956,8.40
1996,7259683,8.45
1997,7855554,8.21
1998,8343146,6.21
1999,8721516,4.54
2000,9214037,5.65
2001,8928963,-3.09
2002,9381500,5.07
2003,9745873,3.88
2004,10297925,5.66
2005,10541566,2.37
2006,10931697,3.70
2007,11433779,4.59
2008,11020825,-3.61
2009,10875793,-1.32
2010,12077842,11.05
2011,12174860,0.80
2012,12333970,1.31
