年分,原始值,年增率
1951,1582,...
1952,2127,34.45
1953,2725,28.11
1954,2862,5.03
1955,3268,14.19
1956,3607,10.37
1957,4054,12.39
1958,4366,7.70
1959,4846,10.99
1960,5653,16.65
1961,6103,7.96
1962,6489,6.32
1963,7124,9.79
1964,8082,13.45
1965,8645,6.97
1966,9381,8.51
1967,10526,12.21
1968,11926,13.30
1969,13289,11.43
1970,14767,11.12
1971,16777,13.61
1972,19640,17.07
1973,24842,26.49
1974,32214,29.68
1975,33497,3.98
1976,39355,17.49
1977,45278,15.05
1978,53696,18.59
1979,63450,18.17
1980,77386,21.96
1981,90314,16.71
1982,95622,5.88
1983,104784,9.58
1984,116768,11.44
1985,121375,3.95
1986,142498,17.40
1987,157673,10.65
1988,170183,7.93
1989,188419,10.72
1990,205105,8.86
1991,227244,10.79
1992,247655,8.98
1993,270335,9.16
1994,292861,8.33
1995,314748,7.47
1996,338582,7.57
1997,363109,7.24
1998,382087,5.23
1999,396244,3.71
2000,415336,4.82
2001,399665,-3.77
2002,417639,4.50
2003,431947,3.43
2004,454718,5.27
2005,463778,1.99
2006,478968,3.28
2007,498912,4.16
2008,479214,-3.95
2009,471254,-1.66
2010,521925,10.75
2011,524925,0.57
2012,530029,0.97
