年分,原始值,年增率
1971,0.43,...
1972,0.68,58.14
1973,1.03,51.47
1974,1.09,5.83
1975,1.01,-7.34
1976,1.41,39.60
1977,1.81,28.37
1978,2.61,44.20
1979,2.73,4.60
1980,3.19,16.85
1981,3.55,11.29
1982,3.57,0.56
1983,4.64,29.97
1984,5.96,28.45
1985,5.70,-4.36
1986,7.23,26.84
1987,8.92,23.37
1988,9.78,9.64
1989,10.19,4.19
1990,10.46,2.65
1991,11.50,9.94
1992,12.05,4.78
1993,13.23,9.79
1994,14.75,11.49
1995,17.05,15.59
1996,17.98,5.45
1997,20.44,13.68
1998,22.94,12.23
1999,26.83,16.96
2000,32.30,20.39
2001,27.76,-14.06
2002,32.48,17.00
2003,38.16,17.49
2004,37.66,-1.31
2005,44.21,17.39
2006,51.36,16.17
2007,61.71,20.15
2008,67.06,8.67
2009,63.89,-4.73
2010,90.89,42.26
2011,100.00,10.02
2012,101.20,1.20
