年分,原始值,年增率
1971,7.15,...
1972,8.67,21.26
1973,10.07,16.15
1974,9.62,-4.47
1975,10.53,9.46
1976,12.99,23.36
1977,14.72,13.32
1978,18.04,22.55
1979,19.19,6.37
1980,20.50,6.83
1981,21.22,3.51
1982,21.04,-0.85
1983,23.70,12.64
1984,26.51,11.86
1985,27.22,2.68
1986,31.03,14.00
1987,34.32,10.60
1988,35.78,4.25
1989,37.13,3.77
1990,37.05,-0.22
1991,39.79,7.40
1992,41.55,4.42
1993,43.15,3.85
1994,46.00,6.60
1995,48.20,4.78
1996,49.08,1.83
1997,52.09,6.13
1998,53.85,3.38
1999,57.83,7.39
2000,61.73,6.74
2001,56.55,-8.39
2002,60.76,7.44
2003,66.30,9.12
2004,72.48,9.32
2005,74.90,3.34
2006,78.50,4.81
2007,84.67,7.86
2008,83.70,-1.15
2009,77.09,-7.90
2010,95.69,24.13
2011,100.00,4.50
2012,99.77,...
