年分,原始值,年增率
1971,...,...
1972,...,...
1973,13.88,...
1974,13.46,-3.03
1975,14.63,8.69
1976,16.47,12.58
1977,17.33,5.22
1978,19.85,14.54
1979,20.28,2.17
1980,20.71,2.12
1981,19.89,-3.96
1982,20.04,0.75
1983,22.71,13.32
1984,25.39,11.80
1985,26.09,2.76
1986,29.93,14.72
1987,33.21,10.96
1988,34.53,3.97
1989,35.79,3.65
1990,35.69,-0.28
1991,38.38,7.54
1992,39.93,4.04
1993,41.14,3.03
1994,43.56,5.88
1995,45.88,5.33
1996,47.19,2.86
1997,50.55,7.12
1998,52.30,3.46
1999,56.19,7.44
2000,60.55,7.76
2001,55.53,-8.29
2002,60.25,8.50
2003,65.74,9.11
2004,71.95,9.45
2005,74.21,3.14
2006,77.54,4.49
2007,83.82,8.10
2008,83.04,-0.93
2009,76.70,-7.63
2010,95.74,24.82
2011,100.00,4.45
2012,99.65,...
