年分,原始值,年增率
1971,39.78,...
1972,44.89,12.85
1973,50.25,11.94
1974,48.30,-3.88
1975,54.60,13.04
1976,66.33,21.48
1977,71.74,8.16
1978,84.40,17.65
1979,88.17,4.47
1980,92.84,5.30
1981,97.92,5.47
1982,98.61,0.70
1983,105.91,7.40
1984,114.31,7.93
1985,117.36,2.67
1986,128.60,9.58
1987,136.29,5.98
1988,130.55,-4.21
1989,130.44,-0.08
1990,125.49,-3.79
1991,131.67,4.92
1992,131.40,-0.21
1993,127.13,-3.25
1994,129.92,2.19
1995,127.94,-1.52
1996,125.59,-1.84
1997,124.62,-0.77
1998,121.66,-2.38
1999,122.41,0.62
2000,123.64,1.00
2001,113.18,-8.46
2002,108.92,-3.76
2003,107.25,-1.53
2004,107.08,-0.16
2005,103.67,-3.18
2006,101.59,-2.01
2007,100.82,-0.76
2008,95.37,-5.41
2009,89.31,-6.35
2010,99.09,10.95
2011,100.00,0.92
2012,99.58,-0.42
