年分,原始值,年增率
1971,7.65,...
1972,8.85,15.69
1973,10.06,13.67
1974,10.42,3.58
1975,11.58,11.13
1976,13.63,17.70
1977,15.07,10.56
1978,17.52,16.26
1979,19.18,9.47
1980,20.66,7.72
1981,20.29,-1.79
1982,20.63,1.68
1983,22.98,11.39
1984,24.80,7.92
1985,26.41,6.49
1986,29.56,11.93
1987,32.81,10.99
1988,35.73,8.90
1989,36.87,3.19
1990,39.45,7.00
1991,43.02,9.05
1992,45.24,5.16
1993,49.14,8.62
1994,53.19,8.24
1995,56.83,6.84
1996,64.15,12.88
1997,68.25,6.39
1998,73.80,8.13
1999,76.21,3.27
2000,81.22,6.57
2001,81.82,0.74
2002,85.72,4.77
2003,89.39,4.28
2004,92.38,3.34
2005,96.29,4.23
2006,98.69,2.49
2007,101.59,2.94
2008,99.64,-1.92
2009,96.98,-2.67
2010,99.38,2.47
2011,100.00,0.62
2012,99.18,-0.82
