年分,原始值,年增率
1971,5.05,...
1972,6.10,20.79
1973,7.42,21.64
1974,8.12,9.43
1975,8.02,-1.23
1976,10.27,28.05
1977,12.94,26.00
1978,17.05,31.76
1979,20.20,18.48
1980,23.24,15.05
1981,23.91,2.88
1982,23.38,-2.22
1983,26.91,15.10
1984,29.30,8.88
1985,29.75,1.54
1986,34.78,16.91
1987,39.47,13.48
1988,42.90,8.69
1989,46.48,8.34
1990,47.31,1.79
1991,52.44,10.84
1992,56.52,7.78
1993,57.90,2.44
1994,60.75,4.92
1995,63.29,4.18
1996,64.63,2.12
1997,70.91,9.72
1998,70.89,-0.03
1999,73.04,3.03
2000,74.99,2.67
2001,64.72,-13.70
2002,70.45,8.85
2003,74.77,6.13
2004,92.85,24.18
2005,91.37,-1.59
2006,92.55,1.29
2007,94.10,1.67
2008,88.42,-6.04
2009,72.09,-18.47
2010,94.18,30.64
2011,100.00,6.18
2012,95.91,-4.09
